"name","category","price","sku","barcode","stock_quantity","low_stock_threshold","description","image","active","popular","send_to_k","cost"
"Iron Supplement","Over-the-Counter","346.40","CAF-OTC-018","9000000000018","74","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","242.48"
"Zinc 50mg","Vitamins & Supplements","363.70","CAF-VIT-019","9000000000019","77","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","265.50"
"ORS Sachet","First Aid","381.00","CAF-FAD-020","9000000000020","80","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","289.56"
"Cough Syrup","Personal Care","398.30","CAF-PCR-021","9000000000021","83","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","231.01"
"Expectorant Syrup","Baby Care","415.60","CAF-BBC-022","9000000000022","86","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","253.52"
"Antacid Suspension","Medical Devices","432.90","CAF-MDS-023","9000000000023","89","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","277.06"
"Loperamide 2mg","Skin Care","450.20","CAF-SKN-024","9000000000024","92","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","301.63"
"Probiotic Capsules","Prescription Medicines","47.50","CAF-PRM-025","9000000000025","95","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","33.25"
"Nasal Spray","Over-the-Counter","64.80","CAF-OTC-026","9000000000026","98","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","47.30"
"Saline Solution","Vitamins & Supplements","82.10","CAF-VIT-027","9000000000027","101","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","62.40"
"Eye Drops Lubricant","First Aid","99.40","CAF-FAD-028","9000000000028","104","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","57.65"
"Antiseptic Solution","Personal Care","116.70","CAF-PCR-029","9000000000029","107","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","71.19"
"Hydrogen Peroxide","Baby Care","134.00","CAF-BBC-030","9000000000030","110","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","85.76"
"Alcohol 70%","Medical Devices","151.30","CAF-MDS-031","9000000000031","113","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","101.37"
"Cotton Balls","Skin Care","168.60","CAF-SKN-032","9000000000032","116","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","118.02"
"Sterile Gauze","Prescription Medicines","185.90","CAF-PRM-033","9000000000033","119","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","135.71"
"Adhesive Bandage","Over-the-Counter","203.20","CAF-OTC-034","9000000000034","122","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","154.43"
"Digital Thermometer","Vitamins & Supplements","220.50","CAF-VIT-035","9000000000035","125","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","127.89"
"Blood Pressure Monitor","First Aid","237.80","CAF-FAD-036","9000000000036","128","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","145.06"
"Pulse Oximeter","Personal Care","255.10","CAF-PCR-037","9000000000037","131","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","163.26"
"Pregnancy Test Kit","Baby Care","272.40","CAF-BBC-038","9000000000038","134","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","182.51"
"Glucose Test Strips","Medical Devices","289.70","CAF-MDS-039","9000000000039","137","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","202.79"
"Insulin Syringes","Skin Care","307.00","CAF-SKN-040","9000000000040","140","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","224.11"
"Baby Formula","Prescription Medicines","324.30","CAF-PRM-041","9000000000041","143","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","246.47"
"Baby Wipes","Over-the-Counter","341.60","CAF-OTC-042","9000000000042","146","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","198.13"
"Diaper Rash Cream","Vitamins & Supplements","358.90","CAF-VIT-043","9000000000043","149","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","218.93"
"Sunscreen SPF50","First Aid","376.20","CAF-FAD-044","9000000000044","152","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","240.77"
"Moisturizing Lotion","Personal Care","393.50","CAF-PCR-045","9000000000045","155","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","263.64"
"Acne Gel","Baby Care","410.80","CAF-BBC-046","9000000000046","158","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","287.56"
"Anti-Dandruff Shampoo","Medical Devices","428.10","CAF-MDS-047","9000000000047","161","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","312.51"
"Toothpaste Sensitive","Skin Care","445.40","CAF-SKN-048","9000000000048","164","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","338.50"
"Mouthwash","Prescription Medicines","42.70","CAF-PRM-049","9000000000049","167","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","24.77"
"Hand Sanitizer","Over-the-Counter","60.00","CAF-OTC-050","9000000000050","170","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","36.60"
"Paracetamol 500mg","Vitamins & Supplements","77.30","CAF-VIT-051","9000000000051","173","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","49.47"
"Ibuprofen 200mg","First Aid","94.60","CAF-FAD-052","9000000000052","176","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","63.38"
"Cetirizine 10mg","Personal Care","111.90","CAF-PCR-053","9000000000053","179","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","78.33"
"Loratadine 10mg","Baby Care","129.20","CAF-BBC-054","9000000000054","182","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","94.32"
"Amoxicillin 500mg","Medical Devices","146.50","CAF-MDS-055","9000000000055","185","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","111.34"
"Azithromycin 500mg","Skin Care","163.80","CAF-SKN-056","9000000000056","188","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","95.00"
"Omeprazole 20mg","Prescription Medicines","181.10","CAF-PRM-057","9000000000057","191","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","110.47"
"Pantoprazole 40mg","Over-the-Counter","198.40","CAF-OTC-058","9000000000058","194","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","126.98"
"Metformin 500mg","Vitamins & Supplements","215.70","CAF-VIT-059","9000000000059","197","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","144.52"
"Amlodipine 5mg","First Aid","233.00","CAF-FAD-060","9000000000060","20","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","163.10"
"Losartan 50mg","Personal Care","250.30","CAF-PCR-061","9000000000061","23","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","182.72"
"Atorvastatin 20mg","Baby Care","267.60","CAF-BBC-062","9000000000062","26","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","203.38"
"Vitamin C 500mg","Medical Devices","284.90","CAF-MDS-063","9000000000063","29","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","165.24"
"Vitamin B Complex","Skin Care","302.20","CAF-SKN-064","9000000000064","32","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","184.34"
"Multivitamins","Prescription Medicines","319.50","CAF-PRM-065","9000000000065","35","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","204.48"
"Fish Oil 1000mg","Over-the-Counter","336.80","CAF-OTC-066","9000000000066","38","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","225.66"
"Calcium + D3","Vitamins & Supplements","354.10","CAF-VIT-067","9000000000067","41","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","247.87"
"Iron Supplement","First Aid","371.40","CAF-FAD-068","9000000000068","44","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","271.12"
"Zinc 50mg","Personal Care","388.70","CAF-PCR-069","9000000000069","47","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","295.41"
"ORS Sachet","Baby Care","406.00","CAF-BBC-070","9000000000070","50","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","235.48"
"Cough Syrup","Medical Devices","423.30","CAF-MDS-071","9000000000071","53","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","258.21"
"Expectorant Syrup","Skin Care","440.60","CAF-SKN-072","9000000000072","56","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","281.98"
"Antacid Suspension","Prescription Medicines","37.90","CAF-PRM-073","9000000000073","59","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","25.39"
"Loperamide 2mg","Over-the-Counter","55.20","CAF-OTC-074","9000000000074","62","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","38.64"
"Probiotic Capsules","Vitamins & Supplements","72.50","CAF-VIT-075","9000000000075","65","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","52.92"
"Nasal Spray","First Aid","89.80","CAF-FAD-076","9000000000076","68","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","68.25"
"Saline Solution","Personal Care","107.10","CAF-PCR-077","9000000000077","71","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","62.12"
"Eye Drops Lubricant","Baby Care","124.40","CAF-BBC-078","9000000000078","74","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","75.88"
"Antiseptic Solution","Medical Devices","141.70","CAF-MDS-079","9000000000079","77","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","90.69"
"Hydrogen Peroxide","Skin Care","159.00","CAF-SKN-080","9000000000080","80","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","106.53"
"Alcohol 70%","Prescription Medicines","176.30","CAF-PRM-081","9000000000081","83","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","123.41"
"Cotton Balls","Over-the-Counter","193.60","CAF-OTC-082","9000000000082","86","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","141.33"
"Sterile Gauze","Vitamins & Supplements","210.90","CAF-VIT-083","9000000000083","89","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","160.28"
"Adhesive Bandage","First Aid","228.20","CAF-FAD-084","9000000000084","92","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","132.36"
"Digital Thermometer","Personal Care","245.50","CAF-PCR-085","9000000000085","95","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","149.76"
"Blood Pressure Monitor","Baby Care","262.80","CAF-BBC-086","9000000000086","98","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","168.19"
"Pulse Oximeter","Medical Devices","280.10","CAF-MDS-087","9000000000087","101","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","187.67"
"Pregnancy Test Kit","Skin Care","297.40","CAF-SKN-088","9000000000088","104","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","208.18"
"Glucose Test Strips","Prescription Medicines","314.70","CAF-PRM-089","9000000000089","107","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","229.73"
"Insulin Syringes","Over-the-Counter","332.00","CAF-OTC-090","9000000000090","110","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","252.32"
"Baby Formula","Vitamins & Supplements","349.30","CAF-VIT-091","9000000000091","113","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","202.59"
"Baby Wipes","First Aid","366.60","CAF-FAD-092","9000000000092","116","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","223.63"
"Diaper Rash Cream","Personal Care","383.90","CAF-PCR-093","9000000000093","119","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","245.70"
"Sunscreen SPF50","Baby Care","401.20","CAF-BBC-094","9000000000094","122","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","268.80"
"Moisturizing Lotion","Medical Devices","418.50","CAF-MDS-095","9000000000095","125","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","292.95"
"Acne Gel","Skin Care","435.80","CAF-SKN-096","9000000000096","128","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","318.13"
"Anti-Dandruff Shampoo","Prescription Medicines","453.10","CAF-PRM-097","9000000000097","131","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","344.36"
"Toothpaste Sensitive","Over-the-Counter","50.40","CAF-OTC-098","9000000000098","134","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","29.23"
"Mouthwash","Vitamins & Supplements","67.70","CAF-VIT-099","9000000000099","137","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","41.30"
"Hand Sanitizer","First Aid","85.00","CAF-FAD-100","9000000000100","140","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","54.40"
