"name","category","price","sku","barcode","stock_quantity","low_stock_threshold","description","image","active","popular","send_to_k","cost"
"Cheese Puffs Family Pack","Household Supplies","231.20","CAF-HHS-016","4800000000016","127","9","Fast-selling household supplies for sari-sari daily operations","","true","false","false","154.90"
"Rice Crackers Small","Personal Care","244.90","CAF-PCR-017","4800000000017","134","10","Fast-selling personal care for sari-sari daily operations","","true","false","false","173.88"
"Biscuits Regular","Bread and Bakery","258.60","CAF-BRD-018","4800000000018","141","11","Fast-selling bread and bakery for sari-sari daily operations","","true","true","false","193.95"
"Gummy Candy Large","Dairy and Chilled","272.30","CAF-DRY-019","4800000000019","148","12","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","215.12"
"Mint Candy Family Pack","School and Office","286.00","CAF-SCH-020","4800000000020","15","13","Fast-selling school and office for sari-sari daily operations","","true","false","false","180.18"
"Chicken Noodles Small","Beverages","299.70","CAF-BEV-021","4800000000021","22","14","Fast-selling beverages for sari-sari daily operations","","true","true","true","200.80"
"Beef Noodles Regular","Snacks","25.40","CAF-SNK-022","4800000000022","29","15","Fast-selling snacks for sari-sari daily operations","","true","false","true","18.03"
"Seafood Noodles Large","Instant Noodles","39.10","CAF-NOD-023","4800000000023","36","16","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","29.33"
"Spicy Noodles Family Pack","Canned Goods","52.80","CAF-CND-024","4800000000024","43","5","Fast-selling canned goods for sari-sari daily operations","","true","true","false","41.71"
"Cup Noodles Small","Condiments","66.50","CAF-CDM-025","4800000000025","50","6","Fast-selling condiments for sari-sari daily operations","","true","false","false","41.90"
"Pancit Canton Regular","Household Supplies","80.20","CAF-HHS-026","4800000000026","57","7","Fast-selling household supplies for sari-sari daily operations","","true","false","false","53.73"
"Sotanghon Soup Large","Personal Care","93.90","CAF-PCR-027","4800000000027","64","8","Fast-selling personal care for sari-sari daily operations","","true","true","false","66.67"
"Mami Noodles Family Pack","Bread and Bakery","107.60","CAF-BRD-028","4800000000028","71","9","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","80.70"
"Ramen Pack Small","Dairy and Chilled","121.30","CAF-DRY-029","4800000000029","78","10","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","95.83"
"Rice Vermicelli Regular","School and Office","135.00","CAF-SCH-030","4800000000030","85","11","Fast-selling school and office for sari-sari daily operations","","true","true","false","85.05"
"Sardines Tomato Large","Beverages","148.70","CAF-BEV-031","4800000000031","92","12","Fast-selling beverages for sari-sari daily operations","","true","false","true","99.63"
"Tuna Flakes Family Pack","Snacks","162.40","CAF-SNK-032","4800000000032","99","13","Fast-selling snacks for sari-sari daily operations","","true","false","true","115.30"
"Corned Beef Small","Instant Noodles","176.10","CAF-NOD-033","4800000000033","106","14","Fast-selling instant noodles for sari-sari daily operations","","true","true","false","132.07"
"Luncheon Meat Regular","Canned Goods","189.80","CAF-CND-034","4800000000034","113","15","Fast-selling canned goods for sari-sari daily operations","","true","false","false","149.94"
"Baked Beans Large","Condiments","203.50","CAF-CDM-035","4800000000035","120","16","Fast-selling condiments for sari-sari daily operations","","true","false","false","128.21"
"Mushroom Can Family Pack","Household Supplies","217.20","CAF-HHS-036","4800000000036","127","5","Fast-selling household supplies for sari-sari daily operations","","true","true","false","145.52"
"Fruit Cocktail Small","Personal Care","230.90","CAF-PCR-037","4800000000037","134","6","Fast-selling personal care for sari-sari daily operations","","true","false","false","163.94"
"Evaporated Milk Regular","Bread and Bakery","244.60","CAF-BRD-038","4800000000038","141","7","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","183.45"
"Condensed Milk Large","Dairy and Chilled","258.30","CAF-DRY-039","4800000000039","148","8","Fast-selling dairy and chilled for sari-sari daily operations","","true","true","false","204.06"
"Green Peas Family Pack","School and Office","272.00","CAF-SCH-040","4800000000040","15","9","Fast-selling school and office for sari-sari daily operations","","true","false","false","171.36"
"Soy Sauce Small","Beverages","285.70","CAF-BEV-041","4800000000041","22","10","Fast-selling beverages for sari-sari daily operations","","true","false","true","191.42"
"Vinegar Regular","Snacks","299.40","CAF-SNK-042","4800000000042","29","11","Fast-selling snacks for sari-sari daily operations","","true","true","true","212.57"
"Fish Sauce Large","Instant Noodles","25.10","CAF-NOD-043","4800000000043","36","12","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","18.83"
"Banana Ketchup Family Pack","Canned Goods","38.80","CAF-CND-044","4800000000044","43","13","Fast-selling canned goods for sari-sari daily operations","","true","false","false","30.65"
"Tomato Ketchup Small","Condiments","52.50","CAF-CDM-045","4800000000045","50","14","Fast-selling condiments for sari-sari daily operations","","true","true","false","33.08"
"Chili Sauce Regular","Household Supplies","66.20","CAF-HHS-046","4800000000046","57","15","Fast-selling household supplies for sari-sari daily operations","","true","false","false","44.35"
"Oyster Sauce Large","Personal Care","79.90","CAF-PCR-047","4800000000047","64","16","Fast-selling personal care for sari-sari daily operations","","true","false","false","56.73"
"Cooking Oil Family Pack","Bread and Bakery","93.60","CAF-BRD-048","4800000000048","71","5","Fast-selling bread and bakery for sari-sari daily operations","","true","true","false","70.20"
"Rock Salt Small","Dairy and Chilled","107.30","CAF-DRY-049","4800000000049","78","6","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","84.77"
"Brown Sugar Regular","School and Office","121.00","CAF-SCH-050","4800000000050","85","7","Fast-selling school and office for sari-sari daily operations","","true","false","false","76.23"
"Laundry Powder Large","Beverages","134.70","CAF-BEV-051","4800000000051","92","8","Fast-selling beverages for sari-sari daily operations","","true","true","true","90.25"
"Dishwashing Liquid Family Pack","Snacks","148.40","CAF-SNK-052","4800000000052","99","9","Fast-selling snacks for sari-sari daily operations","","true","false","true","105.36"
"Bleach Small","Instant Noodles","162.10","CAF-NOD-053","4800000000053","106","10","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","121.57"
"Fabric Conditioner Regular","Canned Goods","175.80","CAF-CND-054","4800000000054","113","11","Fast-selling canned goods for sari-sari daily operations","","true","true","false","138.88"
"Toilet Cleaner Large","Condiments","189.50","CAF-CDM-055","4800000000055","120","12","Fast-selling condiments for sari-sari daily operations","","true","false","false","119.38"
"Air Freshener Family Pack","Household Supplies","203.20","CAF-HHS-056","4800000000056","127","13","Fast-selling household supplies for sari-sari daily operations","","true","false","false","136.14"
"Scouring Pad Small","Personal Care","216.90","CAF-PCR-057","4800000000057","134","14","Fast-selling personal care for sari-sari daily operations","","true","true","false","154.00"
"Trash Bags Regular","Bread and Bakery","230.60","CAF-BRD-058","4800000000058","141","15","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","172.95"
"Aluminum Foil Large","Dairy and Chilled","244.30","CAF-DRY-059","4800000000059","148","16","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","193.00"
"Paper Towels Family Pack","School and Office","258.00","CAF-SCH-060","4800000000060","15","5","Fast-selling school and office for sari-sari daily operations","","true","true","false","162.54"
"Shampoo Sachet Small","Beverages","271.70","CAF-BEV-061","4800000000061","22","6","Fast-selling beverages for sari-sari daily operations","","true","false","true","182.04"
"Bath Soap Regular","Snacks","285.40","CAF-SNK-062","4800000000062","29","7","Fast-selling snacks for sari-sari daily operations","","true","false","true","202.63"
"Toothpaste Large","Instant Noodles","299.10","CAF-NOD-063","4800000000063","36","8","Fast-selling instant noodles for sari-sari daily operations","","true","true","false","224.32"
"Toothbrush Family Pack","Canned Goods","24.80","CAF-CND-064","4800000000064","43","9","Fast-selling canned goods for sari-sari daily operations","","true","false","false","19.59"
"Body Lotion Small","Condiments","38.50","CAF-CDM-065","4800000000065","50","10","Fast-selling condiments for sari-sari daily operations","","true","false","false","24.26"
"Deodorant Regular","Household Supplies","52.20","CAF-HHS-066","4800000000066","57","11","Fast-selling household supplies for sari-sari daily operations","","true","true","false","34.97"
"Cotton Buds Large","Personal Care","65.90","CAF-PCR-067","4800000000067","64","12","Fast-selling personal care for sari-sari daily operations","","true","false","false","46.79"
"Rubbing Alcohol Family Pack","Bread and Bakery","79.60","CAF-BRD-068","4800000000068","71","13","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","59.70"
"Face Mask Small","Dairy and Chilled","93.30","CAF-DRY-069","4800000000069","78","14","Fast-selling dairy and chilled for sari-sari daily operations","","true","true","false","73.71"
"Hand Sanitizer Regular","School and Office","107.00","CAF-SCH-070","4800000000070","85","15","Fast-selling school and office for sari-sari daily operations","","true","false","false","67.41"
"Pandesal Pack Large","Beverages","120.70","CAF-BEV-071","4800000000071","92","16","Fast-selling beverages for sari-sari daily operations","","true","false","true","80.87"
"Loaf Bread Family Pack","Snacks","134.40","CAF-SNK-072","4800000000072","99","5","Fast-selling snacks for sari-sari daily operations","","true","true","true","95.42"
"Ensaymada Small","Instant Noodles","148.10","CAF-NOD-073","4800000000073","106","6","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","111.07"
"Bread Sticks Regular","Canned Goods","161.80","CAF-CND-074","4800000000074","113","7","Fast-selling canned goods for sari-sari daily operations","","true","false","false","127.82"
"Chocolate Bread Large","Condiments","175.50","CAF-CDM-075","4800000000075","120","8","Fast-selling condiments for sari-sari daily operations","","true","true","false","110.56"
"Garlic Bread Family Pack","Household Supplies","189.20","CAF-HHS-076","4800000000076","127","9","Fast-selling household supplies for sari-sari daily operations","","true","false","false","126.76"
"Cheese Bread Small","Personal Care","202.90","CAF-PCR-077","4800000000077","134","10","Fast-selling personal care for sari-sari daily operations","","true","false","false","144.06"
"Mini Donut Regular","Bread and Bakery","216.60","CAF-BRD-078","4800000000078","141","11","Fast-selling bread and bakery for sari-sari daily operations","","true","true","false","162.45"
"Muffin Large","Dairy and Chilled","230.30","CAF-DRY-079","4800000000079","148","12","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","181.94"
"Cupcake Family Pack","School and Office","244.00","CAF-SCH-080","4800000000080","15","13","Fast-selling school and office for sari-sari daily operations","","true","false","false","153.72"
"Fresh Milk Small","Beverages","257.70","CAF-BEV-081","4800000000081","22","14","Fast-selling beverages for sari-sari daily operations","","true","true","true","172.66"
"Yogurt Drink Regular","Snacks","271.40","CAF-SNK-082","4800000000082","29","15","Fast-selling snacks for sari-sari daily operations","","true","false","true","192.69"
"Cheese Spread Large","Instant Noodles","285.10","CAF-NOD-083","4800000000083","36","16","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","213.82"
"Butter Family Pack","Canned Goods","298.80","CAF-CND-084","4800000000084","43","5","Fast-selling canned goods for sari-sari daily operations","","true","true","false","236.05"
"Margarine Small","Condiments","24.50","CAF-CDM-085","4800000000085","50","6","Fast-selling condiments for sari-sari daily operations","","true","false","false","15.44"
"Chocolate Drink Regular","Household Supplies","38.20","CAF-HHS-086","4800000000086","57","7","Fast-selling household supplies for sari-sari daily operations","","true","false","false","25.59"
"Creamer Large","Personal Care","51.90","CAF-PCR-087","4800000000087","64","8","Fast-selling personal care for sari-sari daily operations","","true","true","false","36.85"
"Eggs Tray Family Pack","Bread and Bakery","65.60","CAF-BRD-088","4800000000088","71","9","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","49.20"
"Mayonnaise Small","Dairy and Chilled","79.30","CAF-DRY-089","4800000000089","78","10","Fast-selling dairy and chilled for sari-sari daily operations","","true","false","false","62.65"
"Sandwich Spread Regular","School and Office","93.00","CAF-SCH-090","4800000000090","85","11","Fast-selling school and office for sari-sari daily operations","","true","true","false","58.59"
"Ballpen Blue Large","Beverages","106.70","CAF-BEV-091","4800000000091","92","12","Fast-selling beverages for sari-sari daily operations","","true","false","true","71.49"
"Notebook Family Pack","Snacks","120.40","CAF-SNK-092","4800000000092","99","13","Fast-selling snacks for sari-sari daily operations","","true","false","true","85.48"
"Pencil Small","Instant Noodles","134.10","CAF-NOD-093","4800000000093","106","14","Fast-selling instant noodles for sari-sari daily operations","","true","true","false","100.57"
"Eraser Regular","Canned Goods","147.80","CAF-CND-094","4800000000094","113","15","Fast-selling canned goods for sari-sari daily operations","","true","false","false","116.76"
"Sharpener Large","Condiments","161.50","CAF-CDM-095","4800000000095","120","16","Fast-selling condiments for sari-sari daily operations","","true","false","false","101.74"
"Glue Stick Family Pack","Household Supplies","175.20","CAF-HHS-096","4800000000096","127","5","Fast-selling household supplies for sari-sari daily operations","","true","true","false","117.38"
"Tape Roll Small","Personal Care","188.90","CAF-PCR-097","4800000000097","134","6","Fast-selling personal care for sari-sari daily operations","","true","false","false","134.12"
"Bond Paper Regular","Bread and Bakery","202.60","CAF-BRD-098","4800000000098","141","7","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","151.95"
"Index Card Large","Dairy and Chilled","216.30","CAF-DRY-099","4800000000099","148","8","Fast-selling dairy and chilled for sari-sari daily operations","","true","true","false","170.88"
"Marker Pen Family Pack","School and Office","230.00","CAF-SCH-100","4800000000100","15","9","Fast-selling school and office for sari-sari daily operations","","true","false","false","144.90"
